City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Kapaa,US,82.38,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
4,Geraldton,AU,70.21,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
5,Tondano,ID,77.09,scattered clouds,1.3038,124.9112,Villa Bella
6,Taseyevo,RU,76.1,broken clouds,57.2169,94.8978,Gostinitsa Taseyevo
7,Labuhan,ID,82.54,overcast clouds,-6.8844,112.2051,DoubleFAG
8,Arraial Do Cabo,BR,68.85,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
9,Nautla,MX,79.11,few clouds,20.2167,-96.7833,Casa Blanca
14,Rikitea,PF,76.95,broken clouds,-23.1203,-134.9692,People ThankYou
17,Cape Town,ZA,76.1,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
22,Mahebourg,MU,69.26,clear sky,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
23,Hermanus,ZA,68.92,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
26,Souillac,MU,72.25,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
29,Lasem,ID,84.54,overcast clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Warung & Community Center"
32,Sao Miguel Do Tapuio,BR,74.21,overcast clouds,-5.5036,-41.3233,Hotel Tropical
34,Nenton,GT,77.56,broken clouds,15.8,-91.75,Hotel Las Peñas
39,Kavaratti,IN,78.75,heavy intensity rain,10.5669,72.642,Hotels in Lakshadweep Islands
41,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
42,Faanui,PF,81.54,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
43,Bambous Virieux,MU,69.22,clear sky,-20.3428,57.7575,Casa Tia Villa
46,Bengkulu,ID,83.46,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
47,Carnarvon,AU,73.83,clear sky,-24.8667,113.6333,Hospitality Carnarvon
49,Hilo,US,83.28,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
54,Hithadhoo,MV,84.72,overcast clouds,-0.6,73.0833,Scoop Guest House
58,Ponta Do Sol,PT,68.63,broken clouds,32.6667,-17.1,Hotel do Campo
59,Kilindoni,TZ,78.12,light rain,-7.9139,39.6668,Bustani B&B
62,Butaritari,KI,82.26,few clouds,3.0707,172.7902,Isles Sunset Lodge
65,Tateyama,JP,66.09,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
75,San Jose,US,74.21,clear sky,37.3394,-121.895,The Westin San Jose
76,Ibanda,TZ,66.54,overcast clouds,-2.7974,32.4746,Lahe Hotel Mwanza
80,Port Alfred,ZA,69.84,clear sky,-33.5906,26.891,The Halyards Hotel
84,Ambilobe,MG,69.37,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
85,Sorong,ID,83.62,broken clouds,-0.8833,131.25,Waigo Splash Hotel
88,Saint-Philippe,RE,65.79,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
90,Aswan,EG,80.24,scattered clouds,24.0934,32.907,Nuba Nile
