City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mildura,AU,-34.2,142.15,60.08,70,1,13.15,clear sky
1,Port Hardy,CA,50.6996,-127.4199,51.98,66,100,6.91,overcast clouds
2,Kapaa,US,22.0752,-159.319,82.38,75,22,4.0,few clouds
3,Menongue,AO,-14.6585,17.691,52.07,69,1,4.56,clear sky
4,Geraldton,AU,-28.7667,114.6,70.21,78,40,8.05,scattered clouds
5,Tondano,ID,1.3038,124.9112,77.09,64,39,1.03,scattered clouds
6,Taseyevo,RU,57.2169,94.8978,76.1,36,64,11.54,broken clouds
7,Labuhan,ID,-6.8844,112.2051,82.54,78,100,6.71,overcast clouds
8,Arraial Do Cabo,BR,-22.9661,-42.0278,68.85,80,96,15.43,overcast clouds
9,Nautla,MX,20.2167,-96.7833,79.11,77,16,13.73,few clouds
10,Ushuaia,AR,-54.8,-68.3,46.06,66,0,2.3,clear sky
11,Moose Factory,CA,51.2585,-80.6094,44.6,61,20,6.91,few clouds
12,Norman Wells,CA,65.282,-126.8329,57.24,47,75,8.05,broken clouds
13,Egvekinot,RU,66.3167,-179.1667,30.36,93,100,5.82,overcast clouds
14,Rikitea,PF,-23.1203,-134.9692,76.95,74,65,21.85,broken clouds
15,Jamestown,US,42.097,-79.2353,47.05,78,8,3.8,clear sky
16,Bluff,NZ,-46.6,168.3333,60.8,68,93,13.44,overcast clouds
17,Cape Town,ZA,-33.9258,18.4232,76.1,38,0,10.0,clear sky
18,Kodiak,US,57.79,-152.4072,46.35,65,100,2.93,overcast clouds
19,Busselton,AU,-33.65,115.3333,63.19,85,100,8.32,overcast clouds
20,Kaitangata,NZ,-46.2817,169.8464,59.16,56,75,4.52,moderate rain
21,Dikson,RU,73.5069,80.5464,33.73,100,100,5.86,overcast clouds
22,Mahebourg,MU,-20.4081,57.7,69.26,64,4,15.28,clear sky
23,Hermanus,ZA,-34.4187,19.2345,68.92,47,100,5.97,overcast clouds
24,Lensk,RU,60.7253,114.9278,52.16,62,73,3.13,broken clouds
25,Barrow,US,71.2906,-156.7887,15.82,73,100,9.22,light snow
26,Souillac,MU,-20.5167,57.5167,72.25,65,8,13.82,clear sky
27,Castro,BR,-24.7911,-50.0119,36.93,76,10,14.18,clear sky
28,Mataura,NZ,-46.1927,168.8643,60.48,60,85,5.32,light rain
29,Lasem,ID,-6.6922,111.4527,84.54,74,89,5.86,overcast clouds
30,Hobart,AU,-42.8794,147.3294,53.02,77,75,9.22,broken clouds
31,Vacaria,BR,-28.5122,-50.9339,37.15,98,100,19.6,overcast clouds
32,Sao Miguel Do Tapuio,BR,-5.5036,-41.3233,74.21,79,96,2.24,overcast clouds
33,Yellowknife,CA,62.456,-114.3525,53.1,39,100,13.98,overcast clouds
34,Nenton,GT,15.8,-91.75,77.56,51,73,6.11,broken clouds
35,Punta Arenas,CL,-53.15,-70.9167,44.71,81,100,8.05,overcast clouds
36,Thompson,CA,55.7435,-97.8558,44.96,56,45,9.17,scattered clouds
